activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	credit.score	id	activity.id	activity.ime	Arguments
C	L	7729741	4953775	1906473	683360	71806	71806	83862	767222	36415	6514572	2997107	1777731	37097	2307526	4196214	1315991	1315991	255035	2838687	1844091	714285	234315	20.2	1.48	-7	-5.1	-5.6	2.27	0.46	1.17	1.4	FALSE	A	S E P proizvodnja in storitve d.o.o.	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	
C	S	2245540	1181425	794924	173191	14569	14569	41443	214634	29000	3794326	2727296	430423	19124	3049138	744787	502594	502594	430423	502594	88806	202191	402505	13.2	1.48	2.4	-12.5	3.6	1.92	0.72	2.84	1.1	FALSE	A	POHISTVO ISKRA proizvodnja, trgovina in inzeniring d.o.o. Medvode	31.01	PROIZVODNJA POHISTVA ZA POSLOVNE IN PRODAJNE PROSTORE	
G	M	17873510	15999780	1905249	626435	1120761	424258	-621956	4479	-1648500	9097497	-1047241	8147729	19690	7409057	1551810	1856601	1856601	5990290	4014040	1032556	-1123048	-1031115	20.4	0.39	-12.9	-20.8	-3.7	30	-0.12	0	-6.3	FALSE	E	AVTO SERBINEK trgovina in storitve d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	
G	M	15089126	13855928	913018	99146	36962	36962	188768	287914	211730	7720844	3570098	1433334	907365	2512734	5095443	2699110	2699110	1197143	2935301	1395025	308499	260684	35	1.74	9.9	23.5	-2.6	1.83	0.46	5.11	2.7	FALSE	A	OPEKA, podjetje za trgovino in storitve, d.o.o.	46.73	TRGOVINA NA DEBELO Z LESOM, GRADBENIM MATERIALOM IN SANITARNO OPREMO	
C	L	55756696	47410684	5993304	583914	131882	131882	706578	1290492	646725	18385726	8162992	2523298	247170	975275	17142738	6756558	6756558	1176464	8103392	5515819	962201	-1199214	36.7	2.12	5.3	10.8	-1.4	1.76	0.44	5.36	4.2	FALSE	A	JUB kemicna industrija d.o.o.	20.3	PROIZVODNJA BARV, LAKOV IN PODOBNIH PREMAZOV, TISKARSKIH BARV IN KITOV	
G	S	5818119	5078758	442329	249787	89844	89844	126061	375848	43462	5065677	4128595	829862	89183	2328569	2726624	102375	102375	684995	247242	1400137	266634	197108	2	11.03	2.7	-7.9	-2	1.97	0.82	1.4	2.4	FALSE	A	PROLOCO TRADE, trgovina, storitve in zastopanje, d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	
M	S	2407441	1477700	809338	124726	30135	30135	560547	685273	436018	3785393	2178352	1124260	273201	1470814	2292880	302781	302781	597873	829168	916837	556253	-179664	8	2.77	18.1	-7.2	22.5	1.24	0.58	18.6	17.7	FALSE	A	SMARTEH Raziskave in razvoj procesne opreme d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	
C	S	6799578	6560559	216885	99	34441	34441	19910	20009	3850	2889688	23612	1968614	163634	2865	2886823	897384	897384	1300000	1565998	250943	3949	255697	31.1	1.84	17.6	33.5	-3	30	0.01	0.58	0.6	FALSE	E	POLIX EXPORT druzba za proizvodnjo, prodajo, izvoz, uvoz instalacijskega blaga, d.o.o.	28.14	PROIZVODNJA PIP IN VENTILOV	
G	M	16007639	13819756	1323441	192806	2935	2935	657557	850363	557415	7213611	5186287	5070	1967323	516693	6571212	1808434	1808434	3055	1810449	1796662	705177	1408817	25.1	3.63	3.7	24.1	2.6	-2.31	0.72	100	9.1	FALSE	A	RAM 2 trgovina, proizvodnja, zastopanje in inzeniring, d.o.o.	46.49	TRGOVINA NA DEBELO Z DRUGIMI IZDELKI SIROKE PORABE	
G	S	8684460	7729490	677190	222088	50257	50257	112751	334839	63284	4599831	1735163	2531339	452505	969716	3629056	274841	274841	2514719	291461	1008579	170274	212616	6	12.45	-1.7	-4.8	0.3	6.21	0.38	2.24	2.6	FALSE	E	J.U.A. FRISCHEIS, Podjetje za zastopanje in prodajo d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	
F	M	28486516	25433150	2906769	49108	11010	11010	83519	132627	69327	11050684	1084935	0	14240	545155	10499077	9914756	9914756	50993	9914756	110117	78403	23892	89.7	1.06	38.1	-39.4	-0.3	-0.11	0.1	7.59	0.6	FALSE	E	CGP - GRADNJE, gradbenistvo, d.o.o.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	
F	S	1281502	1054146	13816	340280	47354	47354	-129402	210878	-160162	3113521	2820095	0	430880	1295998	1815491	257689	257689	0	257689	162354	17582	295055	8.3	7.05	-45.9	-78	-10.4	-2.04	0.91	0	-3.6	FALSE	E	ARMAT PROJEKT trgovska, proizvodna in storitvena dejavnost d.o.o.	43.99	DRUGA SPECIALIZIRANA GRADBENA DELA	
M	S	5981321	5067079	1542353	110787	544	544	284274	395061	269422	4312059	2137782	0	187911	527293	3711300	1990443	1990443	0	1990443	1204437	310746	-151539	46.2	1.86	2	2.1	0.9	-0.48	0.5	100	7.4	FALSE	A	KOLEKTOR SINABIT avtomatizacija, informatizacija, inzeniring d.o.o.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	
C	S	1804552	1331629	514773	41512	36637	36637	88905	130417	45392	2728082	1101848	919493	0	660539	2066642	706163	706163	756528	869128	548139	83753	-479067	25.9	2.38	9.4	-45.6	-1.5	7.05	0.4	2.43	3.1	FALSE	E	ST-TREND, inzeniring in proizvodnja strojne opreme, d.o.o.	28.99	PROIZVODNJA STROJEV ZA DRUGE POSEBNE NAMENE	
C	S	2559303	2110660	332359	121725	37341	37341	32380	154105	5474	1974999	281900	937511	24969	997002	973454	755588	755588	247511	1445588	480453	127199	-39650	38.3	0.67	17.5	8.3	-2.5	5.92	0.14	0.87	1.6	FALSE	E	HIPLEX Proizvodno in trgovsko podjetje d.o.o.	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	
C	M	22005908	16636149	4341597	1019985	235615	225927	418260	1438245	363342	17159588	3331915	8950965	291376	8862428	8185163	4078058	4078058	7736427	5292596	4518667	997058	-810040	23.8	1.55	3.8	8.2	0.8	6.02	0.19	1.85	2.3	FALSE	E	M SORA, trgovina in proizvodnja, d.d.	16.23	STAVBNO MIZARSTVO IN TESARSTVO	
C	M	14820749	12551068	1530057	452435	61481	61481	305613	758048	294990	7401292	4177248	999289	570810	3799781	3538454	1928289	1928289	794998	2132580	869850	747425	238184	26.1	1.66	-11	-15.3	-3.4	0.57	0.56	4.97	4	FALSE	A	UNITPLAST d.o.o., proizvodnja in storitve	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	
E	S	4783173	2413290	1312894	73090	87	87	162266	235356	267387	3899739	740444	0	1921607	406912	3478722	381351	381351	0	381351	0	324997	621651	9.8	9.12	7.7	9.5	-1.4	-8.16	0.19	100	5	TRUE	A	Javno podjetje center za ravnanje z odpadki Puconci d.o.o.	38.21	RAVNANJE Z NENEVARNIMI ODPADKI	
C	L	7140735	5840040	931988	247198	257737	257737	247504	494702	-58693	12459574	4613451	3963756	32691	10256763	2140676	2372717	2372717	4502180	3343943	1124832	188505	657941	19	0.64	-9.1	-13.5	0.9	7.95	0.37	0.96	1.8	FALSE	E	G - M & M, proizvodnja in marketing d.o.o.	28.24	PROIZVODNJA ROCNIH STROJEV IN NAPRAV	
C	L	97364184	61684944	26143298	7474795	2164744	1745157	4090252	11565047	2605122	99285728	41671740	30619996	1944937	49184068	49801940	20057162	19802358	16266663	35119480	20581650	8937420	12531754	20.2	1.42	35.1	-3.3	1.4	2.48	0.42	2.34	3.9	FALSE	A	ISKRA, elektro in elektronska industrija, d.d.	27.12	PROIZVODNJA NAPRAV ZA DISTRIBUCIJO IN KRMILJENJE ELEKTRIKE	
C	M	22735258	17103026	3354674	763274	122057	122057	2213274	2976548	1795287	13162837	5840449	3984667	63499	6257878	6809129	2891718	2891718	3772727	3103658	3852838	2510289	2318947	22	2.19	14.1	7.8	2.6	1.32	0.44	18.13	17.6	FALSE	A	ISOKON proizvodnja in predelava termoplastov, d.o.o., Slovenske Konjice	22.21	PROIZVODNJA PLOSC, FOLIJ, CEVI IN PROFILOV IZ PLASTICNIH MAS	
N	S	5031143	4457411	245934	152202	101709	101709	172321	324523	47913	3735187	356138	1400901	41723	1152475	2514669	1978148	1978148	747352	2631697	0	155102	593933	53	0.96	6.5	35.7	2.5	4.19	0.1	1.69	4.8	FALSE	E	PANORAMIC, turisticno poslovne storitve d.o.o.	79.12	DEJAVNOST ORGANIZATORJEV POTOVANJ	
M	S	5979742	3230958	2606197	56202	4051	4051	-12264	43938	20658	3546980	2043771	0	1464346	475903	3051469	1377432	1377432	0	1377432	0	76860	458882	38.8	2.22	9.9	-10.7	4.3	-33.33	0.58	0	-0.4	FALSE	E	PRICEWATERHOUSECOOPERS podjetje za revizijo in druge financno racunovodske storitve, d.o.o.	69.2	"RACUNOVODSKE, KNJIGOVODSKE IN REVIZIJSKE DEJAVNOSTI; DAVCNO SVETOVANJE"	
C	S	3482871	2231629	1458320	111636	34740	34740	34648	146284	707	3961236	2310621	1140748	20407	2709275	1247717	440430	440430	648398	932780	875708	112343	-47869	11.1	1.34	-12.9	-27.3	-0.9	7.66	0.58	1	0.9	FALSE	E	LENTHERM-INVEST vodenje, trzenje in proizvodnja d.o.o.	25.21	PROIZVODNJA RADIATORJEV IN KOTLOV ZA CENTRALNO OGREVANJE	
H	S	1745857	1258009	348823	78956	35218	35218	59903	138859	19863	1921322	903441	735571	4085	812718	1108604	282310	282310	380675	637206	747031	98819	160324	14.7	1.74	1.2	-15.6	-2.4	5.27	0.47	1.7	2.9	FALSE	E	EME-T & T, transportna tehnologija d.o.o.	49.41	CESTNI TOVORNI PROMET	
F	S	1310336	1038720	177429	238726	37821	37821	16143	254869	7192	1693687	1289034	5191	6360	1393268	300419	391916	391916	0	397107	13374	245918	144103	23.1	0.76	5.1	-36	-4.3	0	0.76	0.43	0.9	FALSE	A	KG-EKO, Proizvodnja in predelava agregatov, d.o.o.	43.99	DRUGA SPECIALIZIRANA GRADBENA DELA	
F	L	6615514	3396969	805895	351159	731250	701925	-143372	207787	472045	17635976	4071397	8957957	394649	5977979	11632687	4314369	2138885	7396484	5875842	9191505	603011	2991805	24.5	1.98	-27.7	-47.2	-7.9	30	0.23	0	-0.7	FALSE	E	LESNINA INZENIRING podjetje za projektiranje, gradnjo in opremo objektov, d.d., Ljubljana	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	
G	M	16193690	15248957	923671	92025	330518	330518	171118	263143	-65882	8350112	1739921	5878095	51898	4459787	3721187	679130	676811	2319	6554906	2316709	26143	498265	8.1	0.57	-2.2	-21.6	-0.7	22.14	0.21	0.52	2	FALSE	E	AVTOHISA KOLMANIC & CO podjetje za trgovino in storitve d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	
G	S	4452971	3731359	512073	137740	40575	40575	74770	212510	76073	2944805	1433088	987933	6514	331297	2613508	523784	523784	255754	1255963	591167	213813	213574	17.8	2.08	-7.3	-11.8	0.3	4.62	0.49	1.84	2.7	FALSE	E	MEDITRADE, Podjetje za zunanjo in notranjo trgovino d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	
C	S	6975632	3955589	2452001	326460	51830	51830	350508	676968	381712	5067415	1906637	1377150	26181	2218191	2844227	1474679	1471231	644996	2206833	649362	688089	144672	29.1	1.29	26.3	8.4	4.7	2	0.38	6.76	7.4	FALSE	A	ORODJARNA & INZENIRING ALBA orodjarstvo, inzeniring in proizvodnja d.o.o.	25.732	PROIZVODNJA ORODJA ZA STROJE	
M	S	4353027	3203820	471808	387782	139872	139872	282697	670479	278250	5520652	1074371	2470737	1495	3424659	2070736	1936716	1882441	1437854	2969599	704	637093	637226	35.1	0.7	19.7	-1.7	6.8	3.68	0.19	2.02	5	FALSE	E	AMICUS podjetje za marketing d.o.o.	73.12	POSREDOVANJE OGLASEVALSKEGA PROSTORA	
C	S	2061146	1445924	320091	197505	9609	9609	99373	296878	68731	2597091	1564993	560000	205524	1464322	1120439	472098	472098	0	1032098	181495	166283	487728	18.2	1.09	1	-2.8	-7	1.19	0.6	10.34	4.2	FALSE	A	ZAGAR NOVO MESTO, proizvodnja in trgovina, d.o.o.	25.99	PROIZVODNJA DRUGJE NERAZVRSCENIH KOVINSKIH IZDELKOV	
J	L	7164957	5032080	1882836	104550	178964	8964	156492	261042	30613	4447181	1708654	223368	93900	2156675	2198468	1967237	1131407	1016571	1174034	194528	128594	-345990	44.2	1.87	-8.4	-16.9	-1.8	0.5	0.38	17.46	3.1	FALSE	A	ADD trgovina, inzeniring, vzdrzevanje d.o.o., Tbilisijska 85, Ljubljana	62.09	DRUGE Z INFORMACIJSKO TEHNOLOGIJO IN RACUNALNISKIMI STORITVAMI POVEZANE DEJAVNOSTI	
G	S	6528082	5899196	491624	86279	46462	46462	50870	137149	10663	1939556	937905	666277	12264	1274077	654901	334929	334929	42827	958379	279147	96055	170806	17.3	0.68	-18.7	-8.3	3.3	4.77	0.48	1.09	2.5	FALSE	E	MALGAJ, Trgovsko-servisno podjetje, d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	
C	S	4700929	3437757	952881	225148	24296	24296	56248	281396	39443	2312369	602538	201036	119570	856100	1456269	1508233	884125	624108	1085161	207833	260781	-38337	65.2	1.34	5.3	0.1	0.8	0.29	0.26	2.32	2.3	FALSE	A	TKG IN PROIZVODNJA VIJAKOV d.o.o.	25.93	PROIZVODNJA IZDELKOV IZ ZICE, VERIG IN VZMETI	
A	M	17269248	9132386	4482689	908997	254141	254141	563758	1472755	344212	17155984	9537284	4770110	142605	12355141	4800843	2375524	2375524	1467846	5677788	683007	1076205	1665647	13.8	0.85	4.4	12.3	-0.2	3.14	0.56	2.22	3.3	FALSE	E	GOZDNO GOSPODARSTVO NOVO MESTO d.d.	2.2	SECNJA	
C	S	4504050	3495742	1366678	150873	112151	112151	-196317	-45444	-336170	4750975	485361	3634528	1210	3149811	1581348	418130	418130	1332381	2720277	1037331	-185372	-868530	8.8	0.58	-15.6	-10.7	-6.6	30	0.1	0	-4.3	FALSE	E	ROSENBAUER, proizvodnja in trgovina za gasilsko dejavnost, d.o.o.	29.1	PROIZVODNJA MOTORNIH VOZIL	
F	S	4922354	3279555	1112289	215840	25034	25034	64757	280597	45285	4158345	1439467	1446867	898	1987527	2156138	1118807	1069375	1283677	1281997	512663	238105	125220	26.9	1.68	8.5	-5.2	0.5	5.15	0.35	2.59	1.5	FALSE	E	KAGER HISA podjetje za proizvodnjo in montazo his d.o.o.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	
G	M	26149400	23614712	1300442	552149	112871	112871	540398	1092547	392599	16783306	4278448	3701999	40397	5376231	11377727	7886779	7886779	2028440	9560338	4658281	820172	953326	47	1.19	11	9.4	-0.3	3.35	0.25	4.79	3.6	FALSE	A	AHAC trgovinsko podjetje d.o.o.	47.11	TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH, PRETEZNO Z ZIVILI	
C	S	3290063	2626581	515962	45125	87436	87436	98485	143610	13581	2803884	887960	1165002	75269	763630	2037884	750922	717906	630371	1285553	1183901	58706	-8063	26.8	1.59	-2.1	10.1	-1.4	7.59	0.32	1.13	3.6	FALSE	E	METALOPREMA Kovinski izdelki in trgovina d.o.o.	25.94	PROIZVODNJA VIJACNEGA MATERIALA, VEZI	
M	S	1994766	685206	672356	735111	1917	1917	176340	911451	175458	2687811	541278	315765	9313	471249	2142685	490897	490897	0	806662	34612	910569	1176158	18.3	2.66	6.1	-25.6	-5.9	0.34	0.2	91.99	4.8	FALSE	A	Beyond Devices, raziskave in razvoj, d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	
C	S	1732008	918532	588059	150653	27129	27129	58800	209453	31729	2587780	1357990	953852	6385	2283043	304737	219562	219562	828852	344562	78384	179168	74605	8.5	0.88	10.6	-18.9	-0.3	4.52	0.52	2.17	2.2	FALSE	E	NCM podjetje za strojno obdelavo d.o.o.	25.62	MEHANSKA OBDELAVA KOVIN	
C	M	13492242	12048683	1106973	220246	122187	122187	87386	307632	-19384	9004959	3020658	2339568	2623	4794072	4201805	3013982	2950982	253162	5290550	37205	200567	-187404	33.5	0.79	-7.4	-8.3	1.9	7.6	0.34	0.72	0.9	FALSE	E	FARME IHAN - MPR, mesna proizvodnja in razsekovalnica d.o.o.	10.11	PROIZVODNJA MESA, RAZEN PERUTNINSKEGA	
C	L	166734992	114318000	12933000	4574000	8505000	0	21208000	25782000	9751000	235530000	85110000	116924000	4806000	97846000	137684000	27150000	27140000	107399000	40367000	9689000	9751000	14468000	11.5	3.41	3.1	-4.2	6.3	4.35	0.36	100	9	FALSE	A	DROGA KOLINSKA, Zivilska industrija, d.d.	10.83	PREDELAVA CAJA IN KAVE	
J	S	2904549	1349962	999904	17856	32538	32538	548585	566441	436783	4547736	3451198	733334	24305	3758394	788759	255645	255645	366668	622311	257247	452184	320802	5.6	1.27	-4.9	-18.1	-2	1.25	0.76	16.86	11.9	FALSE	A	CASOPISNO ZALOZNISKA DRUZBA KMECKI GLAS, d.o.o.	58.13	IZDAJANJE CASOPISOV	
C	S	1029779	598940	473546	223453	203823	0	193887	417340	55631	7958244	7490719	556	3624629	949240	7009004	176648	176648	0	177204	750337	279084	2327104	2.2	39.55	-32.3	-48.6	46.1	-8.68	0.94	100	2.4	FALSE	A	LIKO Industrija kovinske opreme, d.d. Liboje	25.11	PROIZVODNJA KOVINSKIH KONSTRUKCIJ IN NJIHOVIH DELOV	
G	L	71615440	68707856	2041815	550384	300327	300327	292047	842431	231415	25015678	7621415	8210098	269669	10639961	14351838	9171931	9171931	6084633	11297396	3088244	756171	-276148	36.7	1.27	-5	-3.5	-0.6	9.43	0.3	0.97	1.2	FALSE	E	TOPDOM, trgovsko podjetje, d.o.o.	46.73	TRGOVINA NA DEBELO Z LESOM, GRADBENIM MATERIALOM IN SANITARNO OPREMO	
G	S	8817549	7854278	582055	104868	75935	75935	269142	374010	155277	3618992	851023	1376638	33624	434452	3173616	1391138	1391138	677297	2090479	707400	251294	282897	38.4	1.52	0	7.8	-4	3.59	0.24	3.54	7.3	FALSE	A	ACTINIA, trgovska in storitvena druzba d.o.o.	46.71	TRGOVINA NA DEBELO S TRDIMI, TEKOCIMI IN PLINASTIMI GORIVI	
